,asset0price,asset1price
161,1.10238501043,1.10238481954
162,1.10282690537,1.10282671386
163,1.10326713135,1.10326693921
164,1.10370569767,1.1037055049
165,1.10414261354,1.10414242016
166,1.10457788814,1.10457769414
167,1.10501153055,1.10501133595
168,1.1054435498,1.10544335459
169,1.10587395485,1.10587375904
170,1.10630275459,1.10630255819
171,1.10672995786,1.10672976086
172,1.10715557341,1.10715537582
173,1.10757960994,1.10757941177
174,1.1080020761,1.10800187734
175,1.10842298045,1.10842278111
176,1.1088423315,1.10884213159
177,1.1092601377,1.10925993722
178,1.10967640745,1.1096762064
179,1.11009114907,1.11009094746
180,1.11050437082,1.11050416865
181,1.11091608092,1.11091587819
182,1.11132628751,1.11132608423
183,1.11173499868,1.11173479485
184,1.11214222246,1.11214201809
185,1.11254796684,1.11254776193
186,1.11295223972,1.11295203427
187,1.11335504898,1.11335484299
188,1.11375640241,1.11375619589
189,1.11415630776,1.11415610071
190,1.11455477273,1.11455456516
191,1.11495180497,1.11495159688
192,1.11534741205,1.11534720344
193,1.11574160151,1.11574139239
194,1.11613438084,1.11613417121
195,1.11652575746,1.11652554732
196,1.11691573874,1.11691552809
197,1.11730433201,1.11730412086
198,1.11769154454,1.1176913329
199,1.11807738356,1.11807717142
200,1.11846185623,1.1184616436
201,1.11884496968,1.11884475657
202,1.11922673099,1.11922651739
203,1.11960714717,1.11960693309
204,1.1199862252,1.11998601064
205,1.120363972,1.12036375697
206,1.12074039446,1.12074017896
207,1.12111549941,1.12111528344
208,1.12148929364,1.12148907719
209,1.12186178387,1.12186156696
210,1.12223297681,1.12223275944
211,1.1226028791,1.12260266127
212,1.12297149734,1.12297127906
213,1.12333883809,1.12333861936
214,1.12370490786,1.12370468868
215,1.12406971312,1.12406949349
216,1.12443326028,1.12443304021
217,1.12479555574,1.12479533523
218,1.12515660583,1.12515638489
219,1.12551641684,1.12551619546
220,1.12587499503,1.12587477322
221,1.12623234661,1.12623212436
222,1.12658847773,1.12658825507
223,1.12694339454,1.12694317145
224,1.12729710312,1.12729687961
225,1.12764960951,1.12764938558
226,1.12800091973,1.12800069538
227,1.12835103972,1.12835081496
228,1.12869997543,1.12869975026
229,1.12904773273,1.12904750716
230,1.12939431748,1.1293940915
231,1.12973973548,1.1297395091
232,1.13008399251,1.13008376573
233,1.1304270943,1.13042686712
234,1.13076904654,1.13076881896
235,1.13110985488,1.13110962692
236,1.13144952496,1.13144929661
237,1.13178806236,1.13178783361
238,1.13212547261,1.13212524348
239,1.13246176124,1.13246153173
240,1.13279693372,1.13279670383
241,1.13313099549,1.13313076522
242,1.13346395195,1.13346372131
243,1.13379580847,1.13379557746
244,1.13412657039,1.13412633901
245,1.13445624301,1.13445601126
246,1.1347848316,1.13478459947
247,1.13511234137,1.13511210889
248,1.13543877755,1.1354385447
249,1.13576414528,1.13576391208
250,1.13608844971,1.13608821615
251,1.13641169592,1.13641146201
252,1.136733889,1.13673365473
253,1.13705503397,1.13705479935
254,1.13737513583,1.13737490087
255,1.13769419957,1.13769396426
256,1.1380122301,1.13801199445
257,1.13832923235,1.13832899636
258,1.13864521119,1.13864497486
259,1.13896017147,1.13895993481
260,1.139274118,1.139273881
261,1.13958705557,1.13958681824
262,1.13989898893,1.13989875127
263,1.14020992281,1.14020968482
